Actor,Activity,Design Object,Affordance,Input/Output
NotOwner,Generating,Prototype,Transformation,Input
Owner,Generating,Specification,Control,Output
NotOwner,Socializing,Knowledge,Cooperative,Update
Owner,Generating,Implementation,Transformation,Update
Owner,Generating,Implementation,Transformation,Update
Owner,Generating,Specification,Control,Output
Owner,Generating,Implementation,Transformation,Update
Owner,Generating,Specification,Control,Output
NotOwner,Generating,Implementation,Transformation,Update
Owner,Generating,Implementation,Transformation,Update
NotOwner,Negotiating,Prototype,Analysis,Input
Owner,Generating,Prototype,Transformation,Output
Owner,Generating,Implementation,Transformation,Update
Owner,Generating,Implementation,Transformation,Update
Owner,Generating,Prototype,Transformation,Output
NotOwner,Generating,Implementation,Transformation,Update
Owner,Generating,Prototype,Transformation,Output
NotOwner,Generating,Implementation,Transformation,Update
NotOwner,Generating,Implementation,Transformation,Update
NotOwner,Generating,Prototype,Infrastructure,Output
Owner,Generating,Specification,Control,Output
NotOwner,Socializing,Specification,Cooperative,Output
Owner,Generating,Prototype,Transformation,Update
NotOwner,Generating,Knowledge,Infrastructure,Update
Owner,Generating,Specification,Control,Output
NotOwner,Generating,Prototype,Transformation,Update
NotOwner,Generating,Specification,Control,Output
Owner,Generating,Specification,Transformation,Update
Owner,Generating,Specification,Transformation,Update
