,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
1,0%,52%,46%,51%,52%,45%,42%,44%,51%,62%,67%,44%,46%,40%,44%,46%,43%,44%,57%
2,52%,0%,42%,38%,71%,42%,46%,47%,60%,73%,79%,58%,45%,48%,47%,45%,42%,59%,41%
3,46%,42%,0%,40%,63%,41%,42%,40%,54%,68%,73%,49%,40%,43%,41%,42%,39%,52%,44%
4,51%,38%,40%,0%,69%,38%,44%,44%,58%,70%,76%,55%,43%,48%,43%,44%,42%,57%,40%
5,52%,71%,63%,69%,0%,58%,53%,52%,47%,48%,49%,45%,67%,52%,60%,61%,61%,46%,76%
6,45%,42%,41%,38%,58%,0%,35%,38%,52%,64%,69%,45%,41%,41%,41%,41%,39%,49%,46%
7,42%,46%,42%,44%,53%,35%,0%,37%,54%,64%,68%,44%,44%,40%,42%,44%,40%,44%,53%
8,44%,47%,40%,44%,52%,38%,37%,0%,53%,65%,69%,44%,47%,39%,42%,45%,41%,47%,52%
9,51%,60%,54%,58%,47%,52%,54%,53%,0%,38%,50%,52%,58%,48%,52%,52%,54%,54%,62%
10,62%,73%,68%,70%,48%,64%,64%,65%,38%,0%,31%,53%,68%,59%,65%,62%,65%,64%,73%
11,67%,79%,73%,76%,49%,69%,68%,69%,50%,31%,0%,59%,75%,65%,71%,70%,70%,65%,80%
12,44%,58%,49%,55%,45%,45%,44%,44%,52%,53%,59%,0%,51%,39%,45%,47%,47%,42%,62%
13,46%,45%,40%,43%,67%,41%,44%,47%,58%,68%,75%,51%,0%,44%,39%,40%,40%,55%,40%
14,40%,48%,43%,48%,52%,41%,40%,39%,48%,59%,65%,39%,44%,0%,38%,38%,39%,42%,53%
15,44%,47%,41%,43%,60%,41%,42%,42%,52%,65%,71%,45%,39%,38%,0%,36%,35%,47%,47%
16,46%,45%,42%,44%,61%,41%,44%,45%,52%,62%,70%,47%,40%,38%,36%,0%,37%,50%,48%
17,43%,42%,39%,42%,61%,39%,40%,41%,54%,65%,70%,47%,40%,39%,35%,37%,0%,47%,46%
18,44%,59%,52%,57%,46%,49%,44%,47%,54%,64%,65%,42%,55%,42%,47%,50%,47%,0%,65%
19,57%,41%,44%,40%,76%,46%,53%,52%,62%,73%,80%,62%,40%,53%,47%,48%,46%,65%,0%
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,52%,42%,40%,69%,58%,35%,37%,53%,38%,31%,59%,51%,44%,38%,36%,37%,47%,
