,Entropy,C,Turbulence
X_2011_06,0.801947778,0.712267777,317.7072729
X_2011_07,0.693647911,0.634478935,118.1822853
X_2011_08,0.725592096,0.699759514,200.4233327
X_2011_09,0.723385356,0.677884638,143.0517246
X_2011_10,0.722796833,0.7177768,785.0203261
X_2011_11,0.695873008,0.701540369,245.5717253
X_2011_12,0.690211627,0.657928409,260.2645364
X_2012_01,0.67282356,0.658433631,276.645807
X_2012_02,0.599874846,0.522444396,239.2838088
X_2012_03,0.377461228,0.348388373,237.2667408
X_2012_04,0.398732742,0.341793301,371.9715762
X_2012_05,0.712972947,0.670211571,381.2485191
X_2012_06,0.696184452,0.715742043,173.8566056
X_2012_07,0.649447439,0.640843193,265.9395499
X_2012_08,0.64138895,0.641589966,190.3151387
X_2012_09,0.680065903,0.687425157,210.7953975
X_2012_10,0.67450723,0.667601747,202.9205803
X_2012_11,0.630448022,0.614057264,389.3100662
,,,
