,Entropy
X_2011_06,0.801947778177108
X_2011_07,0.693647910683326
X_2011_08,0.725592095726732
X_2011_09,0.723385355537193
X_2011_10,0.722796832800799
X_2011_11,0.695873007584011
X_2011_12,0.69021162666505
X_2012_01,0.672823560397973
X_2012_02,0.599874845600218
X_2012_03,0.377461228148768
X_2012_04,0.398732742325794
X_2012_05,0.712972946859336
X_2012_06,0.696184452004096
X_2012_07,0.649447438958987
X_2012_08,0.64138895005547
X_2012_09,0.680065903195237
X_2012_10,0.674507230122489
X_2012_11,0.630448021513668
X_NA,0.681816238863152
