Repo,2012-03,,
bootstrap,24108.6,bootstrap,26450.59395
bootstrap-server,3.0,bootstrap-server,9.25
cassandra,503.5,cassandra,515.5909091
cassie,104.0,cassie,111.7142857
cassovary,223.2,cassovary,295.122807
cloudhopper-smpp,46.5,cloudhopper-commons-util,13
commons,291.3,cloudhopper-smpp,49
configgy,16.0,commons,303.122807
effectivescala,287.9,configgy,17
finagle,929.2,effectivescala,313.9545455
flockdb,1263.7,finagle,968.0909091
gizzard,1238.5,flockdb,1310.833333
gizzmo,33.6,flockdb-client,75
grabby-hands,45.0,gizzard,1300.717949
hadoop-lzo,206.0,gizzmo,36.72340426
haplocheirus,52.0,hadoop-lzo,209.2
hogan.js,1643.7,haplocheirus,53
jvmgcprof,38.0,hogan.js,1731.522727
kestrel-client,9.0,innovators-patent-agreement,287.2915129
mahout,6.8,joauth,28.5
mustache.js,99.3,jvmgcprof,42.42857143
naggati2,51.0,kestrel-client,10.5
ostrich,235.5,mahout,14.16666667
pycascading,82.9,mustache.js,103.7
querulous,114.8,mysql,466.7898967
Rowz,28.0,naggati2,52.5
rpc-client,24.0,ospriet,125.5454545
rubyenterpriseedition187-248,152.0,ostrich,242.7857143
sbt-package-dist,2.6,pycascading,89.88888889
sbt-scrooge,12.5,querulous,120.2
scala_school,254.7,recess,119.5469799
scala-bootstrapper,32.6,Rowz,29
scala-zookeeper-client,66.0,rpc-client,25
scalding,268.4,rubyenterpriseedition187-248,151.2
scribe,63.0,sbt-package-dist,6.105263158
scrooge,22.3,sbt-scrooge,15
scrooge-runtime,2.5,sbt-thrift,25.66666667
snowflake,722.2,scala_school,265.0909091
standard-project,89.0,scala-bootstrapper,34.06666667
streamyj,14.5,scala-json,15
thrift,29.3,scala-zookeeper-client,67.66666667
thrift_client,78.5,scalding,318.9639175
twemproxy,153.3,schmemcached,12.25
twitter-cldr-rb,6.6,scribe,64
twitter-text-conformance,35.0,scrooge,25.61538462
twitter-text-java,119.3,snowflake,754.46875
twitter-text-js,384.1,standard-project,90.42857143
twitter-text-rb,214.2,thrift,32.25
twitter.github.com,53.2,thrift_client,83
twitter4j,400.0,twemperf,15.42857143
twui,1417.2,twemproxy,170.2222222
util,224.8,twitter-cldr-rb,27.56918239
zookeeper,56.8,twitter-text-conformance,38.53846154
,,twitter-text-java,125.5555556
,,twitter-text-js,400.8333333
,,twitter-text-rb,234.3333333
,,twitter.github.com,70.25714286
,,twitter4j,416.9047619
,,twitterActors,2
,,twui,1461.849315
,,util,245.1935484
,,zookeeper,59.36363636
